id,symbol,datetime,open_price,high_price,low_price,close_price,volume,rsi_5,rsi_7,rsi_10,rsi_14,rsi_21,dif,macd,macd_histogram,rsv,k_value,d_value,j_value,ma5,ma10,ma20,ma60,ema12,ema26,bb_upper,bb_middle,bb_lower,atr,cci,willr,mom,created_at,updated_at,pattern_signals,MA_Cross,BB_Signal,MACD_Cross,Trend,MACD_Div,Anomaly,RSI_Signal,KD_Signal,SR_Signal,Volume_Anomaly,EMA_Cross,CCI_Signal,WILLR_Signal,MOM_Signal,Buy_Signals,Sell_Signals,Trade_Signal,Signal_Strength
664,9950,2025-03-25,13.7,13.7,13.5,13.6,26010,44.2523,39.1607,37.6314,38.9564,41.9575,-0.1591,-0.1569,-0.0021,40.0,35.7343,31.5935,44.016,13.57,13.585,13.8,14.2833,13.6548,13.8139,14.363,13.8,13.237,0.2244,-51.8519,-83.3333,0.0,2025-06-25 22:29:13.826666,2025-07-03 14:55:21.236666,"捉腰帶線,空頭吞沒",,,,偏空,,,,,,,,,WILLR超賣,,0.8,0.5,,
665,9950,2025-03-26,13.6,13.6,13.5,13.55,17000,34.2782,33.7225,34.5788,37.1197,40.943,-0.1556,-0.1567,0.001,30.0,33.8229,32.3366,36.7954,13.57,13.58,13.7575,14.2192,13.6387,13.7943,14.2578,13.7575,13.2572,0.2155,-86.5762,-87.5,-0.05,2025-06-25 22:29:13.826666,2025-07-03 14:55:21.236666,短蠟燭,,,黃金交叉,偏空,,,,,,,,,WILLR超賣,動量轉負,2.2,1.1,,
666,9950,2025-03-27,13.55,13.6,13.3,13.6,49000,48.7245,42.9632,39.9878,40.1581,42.4053,-0.1472,-0.1548,0.0076,50.0,39.2153,34.6295,48.3868,13.59,13.585,13.7175,14.165,13.6327,13.7799,14.1253,13.7175,13.3097,0.2215,-136.1662,-75.0,0.05,2025-06-25 22:29:13.826666,2025-07-03 14:55:21.240000,,,,,偏空,,,,,,,,CCI超賣,,動量轉正,1.5,0.5,,
667,9950,2025-03-28,13.45,13.5,13.1,13.1,89000,13.0015,16.3568,20.8414,26.4134,33.6556,-0.1788,-0.1596,-0.0192,0.0,26.1435,31.8008,14.8288,13.49,13.535,13.6575,14.1192,13.5508,13.7296,14.0578,13.6575,13.2572,0.2414,-303.8031,-100.0,-0.5,2025-06-25 22:29:13.826666,2025-07-03 14:55:21.240000,光腳,,突破下軌,死亡交叉,偏空,底背離,Anomaly,超賣,K下穿D,接近支撐位,量能異常,,CCI超賣,WILLR超賣,動量轉負,6.6000000000000005,3.5,賣出,空頭3.5分
668,9950,2025-03-31,13.05,13.05,12.45,12.7,142000,7.5016,10.3656,14.6194,20.3984,28.684,-0.2334,-0.1744,-0.0591,19.2308,23.8393,29.147,13.2238,13.31,13.44,13.595,14.0775,13.4199,13.6533,14.1526,13.595,13.0374,0.2706,-337.4359,-84.375,-0.95,2025-06-25 22:29:13.830000,2025-07-03 14:55:21.240000,捉腰帶線,,突破下軌,,偏空,,,超賣,,接近支撐位,量能異常,,CCI超賣,WILLR超賣,,4.6000000000000005,0.5,強烈買入,多頭4.6分
669,9950,2025-04-01,12.95,13.15,12.8,13.15,36000,42.0026,39.4669,37.8227,37.6113,39.2793,-0.2377,-0.187,-0.0506,56.0,34.5595,30.9512,41.7762,13.22,13.395,13.555,14.0375,13.3784,13.616,14.1197,13.555,12.9903,0.2834,-144.5008,-56.25,-0.45,2025-06-25 22:29:13.830000,2025-07-03 14:55:21.243333,"光頭,下降跳空三法",,,,偏空,,,,K上穿D,接近支撐位,,,CCI超賣,,,1.9,0.5,,
670,9950,2025-04-02,13.15,13.15,13.05,13.15,11000,42.0026,39.4669,37.8227,37.6113,39.2793,-0.2383,-0.1973,-0.041,56.0,41.7063,34.5362,56.0466,13.14,13.355,13.5125,14.0067,13.3432,13.5815,14.0647,13.5125,12.9603,0.2703,-91.3343,-54.8387,-0.4,2025-06-25 22:29:13.830000,2025-07-03 14:55:21.243333,"十字,蜻蜓十字,上吊線,孕線,十字孕線,長腿十字,探水竿",,,,偏空,,,,,接近支撐位,,,,,,0.0,0.5,,
671,9950,2025-04-07,11.85,11.85,11.85,11.85,52000,15.6514,17.3357,19.2066,21.8101,26.6627,-0.3397,-0.2258,-0.114,0.0,27.8042,32.2922,18.8282,12.79,13.19,13.41,13.9567,13.1135,13.4532,14.2963,13.41,12.5237,0.3439,-263.116,-100.0,-1.65,2025-06-25 22:29:13.830000,2025-07-03 14:55:21.243333,"十字,短蠟燭",,突破下軌,,偏空,,Anomaly,超賣,K下穿D,接近支撐位,,,CCI超賣,WILLR超賣,,3.9000000000000004,1.5,買入,多頭3.9分
672,9950,2025-04-08,11.0,11.25,10.7,10.85,304000,9.7623,11.5322,13.5193,16.1793,21.1705,-0.4951,-0.2796,-0.2155,5.0,20.2028,28.2624,4.0836,12.34,12.915,13.26,13.8892,12.7653,13.2604,14.6627,13.26,11.8573,0.4015,-260.843,-95.3125,-2.75,2025-06-25 22:29:13.830000,2025-07-03 14:55:21.246666,,,突破下軌,,偏空,,,超賣,,接近支撐位,量能異常,,CCI超賣,WILLR超賣,,4.6000000000000005,0.5,強烈買入,多頭4.6分
673,9950,2025-04-09,10.9,10.9,9.77,9.96,257000,6.8817,8.5576,10.4572,12.9699,17.753,-0.6822,-0.3602,-0.3221,4.9608,15.1222,23.8823,-2.3982,11.792,12.551,13.068,13.8027,12.3337,13.0159,15.0529,13.068,11.0831,0.4535,-215.8575,-95.3995,-3.64,2025-06-25 22:29:13.830000,2025-07-03 14:55:21.246666,捉腰帶線,,突破下軌,,偏空,,,超賣,,接近支撐位,量能異常,,CCI超賣,WILLR超賣,,4.6000000000000005,0.5,強烈買入,多頭4.6分
